qid,question,correct_answer,model_generated_answer,model_generated_answer_text,model_comparison
977,where did secretary of woman in the left of the image with the president of turkey?,2,1,Ankara,0
978,where did secretary of woman with the black suit in the image with the president of turkey?,1,3,Ankara,0
979,who did person in the center of the image for the rebuilding of the jersey shore?,0,0,Obama,1
980,who did woman in the center of the image visit in new jersey?,3,2,Barack Obama,0
981,who said he was grateful to person in the center of the image for the federal response to the hurricane?,3,1,President Obama,0
982,who did woman in the right of the image quitana meet in rakhine state?,0,1,She met with officials from other states.,0
983,where did pope person in the left of the image wash the feet of prisoners?,1,2,Casal del Marmo youth prison in Madrid,0
984,where did pope man in the left of the image wash the feet of a prisoner?,3,3,Casal del Marmo youth prison,1
985,who is man in the left of the image to affirm the fundamental value of women in the church?,1,1,Pope Francis,1
986,who is woman in the left of the image of the international agency that monitors iran's nuclear program?,1,3,Yutaka Amano,0
987,where did person in the right of the image watch the world cup final?,2,1,"Fenway Park in Boston, MA",0
988,who is out of jail in russia with man in the image?,0,0,Maria Alyokhina,1
989,where did person in the right of the image form a human chain in spain?,3,1,from the Pyrenees in the north to the border with Andorra in the south,0
990,where does iraq get its trains to carry woman with the black jacket in the image?,3,0,Iraq gets its trains to carry woman with the black jacket in the image from Iran.,0
991,when did the army remove person in the center of the image from power in egypt?,3,0,Saturday,0
992,when did the army remove person in the center of the image from power in egypt?,1,3,Saturday,0
993,who is the interim president of egypt after person in the center of the image was overthrown?,1,1,Adly Mansour,1
994,when did shiites make up person in the right of the image of pakistan's population?,2,3,sometime in the future,0
995,what is the priority of person in the right of the image?,0,1,"2. ""establishing ‚Äúdistant relations‚Äù with India""",0
996,when did person in the left of the image put flags at half staff for african leader?,1,3,through Tuesday,0
997,who said he was inspired by the work of person in the left of the image?,0,2,U.S. President Barack Obama,0
998,who is the real hero of the life of man in the left of the image?,3,1,Kim Jong-un,0
999,who called michael mandela person in the left of the image?,0,2,Barack Obama,0
1000,what is the significance of person in the left of the image of freedom of south africa?,3,1,freedom to choose one's own government,0
1001,who described mandela as man in the left of the image among men?,3,2,Narendra Modi,0
1002,who called michael candela man in the left of the image?,3,1,Barack Obama,0
1003,who was person in the right of the image in tunis?,2,3,Mohamed Ben Ali,0
1004,who was assassinated as man in the right of the image of the constituent assembly?,2,0,Mohamed Brahmi was assassinated while he was in the middle of the constituent assembly.,0
1005,who is traveling with woman with the glasses in the image of the world bank?,2,2,Jim Yong Kim,1
1006,how many french soldiers died in mali according to man with the glasses in the image modibo traore?,3,3,four soldiers were killed when their vehicle ran over a land mine near Gao,1
1007,who is running against person with the black dress in the image for mayor in nyc?,0,0,Joe Lhota,1
1008,who is running for mayor in woman in the bottom of the image?,1,3,Andy Lhota,0
1009,what did woman with the black jacket in the image fear was his job could compromise?,0,1,"his work at the Federal Bureau of Investigation (FBI), a government-linked research agency",0
1010,when is woman in the image of the central african republic coming in?,2,2,early next week,1
1011,who is involved in the removal of person in the right of the image from power?,0,1,The Egyptian military,0
1012,who woman with the glasses in the image speak to on the phone?,1,0,Donald Trump,0
1013,what is the importance of afghanistan for iran under person with the glasses in the image?,0,1,To strengthen military ties,0
1014,who met with woman in the right of the image in kabul?,3,0,Ibraheem Raheempoor,0
1015,who met with person with the glasses in the image in kabul?,0,0,Ibrahim Rahimpor,1
1016,who is president of egypt following the ouster of man in the left of the image?,0,3,Mohamed Morsi,0
1017,who is president of egypt and is man in the left of the image of the muslim brotherhood?,0,1,Mohamed Morsi,0
1018,person in the image were arrested in egypt in the last week?,3,3,four,1
1019,when is the next meeting of person in the image held in jordan?,2,0,next week,0
1020,who was speaking with woman in the image at the peacekeeping conference in rome?,1,1,Nasser Judeh,1
1021,who is the former editor of person in the image?,2,2,Rebekah Brooks,1
1022,who is man in the image accused of phone-hacking?,3,3,Rebekah Brooks,1
1023,man in the image in the uk?,1,2,Newscorp,0
1024,who is a close friend of man in the image in britain?,3,1,Coulaon,0
1025,who is the former communications chief for person in the image?,3,1,Coolson,0
1026,who was chief of staff to person in the image when the phone-hacking scandal broke?,1,3,Coulaon,0
1027,who did ruth man in the image work for in the phone-hacking scandal?,3,0,News UK,0
1028,who is person in the image of britain leader david cameron?,2,2,Coulson,1
1029,who was man in the image of the news of the world when phone-hacking began?,3,3,News International,1
1030,when did man with the red jacket in the image get deported from africa?,3,0,unexpectedly.,0
1031,what is the name of man in the right of the image in politician's clothing?,3,2,The Rev. Frank Bwalya Jr.,0
1032,who hired person in the left of the image to sing in his band?,2,2,legendary band leader Earl ‚ÄúFatha‚Äù Hines,1
1033,who did man in the left of the image of state kerry meet with in israel?,1,3,Israeli Defense Minister Avigdor Lieberman and Palestinian Prime Minister Rami Hamdallah,0
1034,when did person in the left of the image arrive in israel?,1,3,late Wednesday,0
1035,where did person in the left of the image visit the memorial to yitzhak rabin?,0,0,Tel Aviv,1
1036,when does person in the image come out?,1,3,July 10,0
1037,when does person in the image come out?,2,0,Sept. 13,0
1038,who was man in the right of the image who was killed in the olympics?,0,0,Steenkamp,1
1039,what does person in the top of the image say about winston churchill?,0,0,a ‚Äútitan of democracy.‚Äù,1
1040,who said victor churchill was woman in the top of the image the united states ever had?,2,2,Nancy Pelosi,1
1041,who was person in the top of the image of the house when christianity churchill spoke?,0,0,John Boehner,1
1042,who said woman in the top of the image was the best friend the united states ever had?,0,0,Nancy Pelosi,1
1043,who said woman in the top of the image was the best friend the united states ever had?,2,2,Nancy Pelosi,1
1044,who said winston churchill is woman in the top of the image of courage?,0,0,Nancy Pelosi,1
1045,what is the movie white house down about person with the black suit in the image?,0,1,a child trying to reconnect with his father,0
1046,how does tan woman in the center of the image approach his life as a celebrity?,1,3,approaches stardom with fear and trepidation,0
1047,what is the movie with woman with the black suit in the image blowing up the white house?,2,2,White House Down,1
1048,what is raiders of lost ark by person with the black suit in the image about?,0,2,a son trying to reconnect with his father,0
1049,what is the movie white house down about by woman with the black suit in the image?,0,1,France Faces Terror Attack,0
1050,what is the purpose of woman with the black suit in the image to dakar?,1,1,the importance of empowering citizens to play a role in their governments and work to demand accountability of their leaders,1
1051,who is person in the left of the image to visit senegal?,3,3,U.S. President Barack Obama,1
1052,who did woman in the left of the image in africa in 2014?,0,2,Barack Obama,0
1053,who was president when woman in the left of the image visited senegal?,0,2,President Barack Obama,0
1054,who is calling for man in the left of the image to be released from prison?,2,2,U.S. Secretary of State John Kerry,1
1055,who was arrested in the boston marathon bombing by person in the center of the image?,1,3,20-year-old Dzhokhar Tsarnaev,0
1056,who did woman in the image meet in the occupied west bank?,1,0,Mahmoud Ahmadinejad,0
1057,who did man in the right of the image in his speech in venice this week?,0,0,Turkish Prime Minister Recep Tayyip Erdogan,1
1058,why was man in the right of the image in california arrested?,0,1,on suspicion of using high-tech U.S. laboratory equipment without a permit,0
1059,why was person in the right of the image in california arrested?,1,1,"on suspicion of buying high-tech U.S. laboratory equipment, previous Iranian Media reports said",1
1060,how many points does person in the image have in germany 2017?,0,3,about 23 percentage points ahead of the SPD,0
1061,which party is supporting germany's chancellor in man in the image?,3,0,CUD,0
1062,who is the woman who protested against person in the image in germany?,1,1,Ingrid Gaukler,1
1063,who is running against person in the image in the 2017 election?,1,2,Pierre Boustouler,0
1064,where did person in the right of the image blame the us for the war in iraq?,1,0,Austria,0
1065,who is the wife of person in the image in china?,3,1,Peng Liyuan,0
1066,how long is the sentence for man in the top of the image?,3,0,18 years,0
1067,how long is the sentence for man in the top of the image?,2,0,16 years,0
1068,how long is the sentence for person in the top of the image in chicago?,3,1,13 years,0
1069,how long is the sentence for man in the top of the image?,2,2,14 years,1
1070,what was russia's response to person in the image of an arms deal?,3,0,pleased,0
1071,man in the right of the image this weekend?,3,1,not to take sides in the country's economy,0
1072,person in the right of the image as us secretary of state?,2,1,4-Mar-13,0
1073,who did not meet with person in the right of the image in egypt?,3,2,Sayed al Tawabi,0
1074,what is the priority for pakistan under person with the white dress in the image?,1,0, because it will help ensure an independent and sovereign Pakistan,0
1075,who is replacing man in the right of the image as vatican secretary of state?,0,0,Tarciscio Bertone,1
1076,why did the president pardon woman in the left of the image?,0,2,family events,0
1077,why did russia pardon person in the left of the image?,3,3,humanitarian reasons,1
1078,how many Rohingyas are there in myanmar and are considered person in the center of the image?,2,3,about 1 million,0
1079,when was it banned to have person in the center of the image in myanmar?,3,2,in the 2000s,0
1080,where did ms. person with the glasses in the image speak at the state of the union address?,3,0,Dar es Salaam,0
1081,who did woman in the center of the image address at the mandela memorial?,0,3,Thai Prime Minister Prayuth Chan-ocha,0
1082,which country is rebuilding under the leadership of person with the black suit in the image khalif?,2,3,Ethiopia,0
1083,what did european officials say about person with the black jacket in the image to york?,3,0,"1) ""We will continue talks on association pacts with the Yanukovych government.""",0
1084,what did michael jackson suffer from according to man with the sunglasses in the image?,0,0,lupus,1
1085,what did michael jackson suffer from according to man in the center of the image?,1,1,lupus,1
1086,what was wrong with person in the center of the image before he died?,2,0,lupanar,0
1087,what was wrong with man in the center of the image?,2,1,He is lame.,0
1088,how old is man with the glasses in the image in the new york movie?,1,2,"16-year-old Michael Jordan Jr., known as Prince",0
1089,who is the oldest son of person with the glasses in the image?,0,0,T.J.,1
1090,who is the oldest son of person with the sunglasses in the image?,2,3,Joseph,0
1091,who is running against person in the center of the image for president in venezuela?,3,0,Luiz Inacio Lula da Silva,0
1092,what is the main difference between man in the center of the image and maduro?,0,0,wants to follow Brazil's model of free markets with strong social welfare protection.,1
1093,fast and furious cast member dies of injuries in woman with the glasses in the image?,0,1,His 25-year-old daughter,0
1094,who is person in the right of the image in czech politics?,3,1,Vladimir Putin,0
1095,who is person in the right of the image in the czech republic?,1,2, Vaclav Havel,0
1096,what happened to person in the left of the image after he became president of africa?,3,1,The president was ousted in a military uprising.,0
1097,who is man in the right of the image for human rights in burma?,0,2,Aung San Suu Kyi,0
1098,who is person with the glasses in the image for human rights in burma?,0,0,Tomas Ojea Quintana,1
1099,what is the name of person in the right of the image working on burma?,1,0,Quatina,0
1100,who did u.n. rights envoy visit in august 2017 to meet with man with the glasses in the image?,1,0,opposition leader Aung San Suu Kyi,0
1101,what is the state of person with the glasses in the image in burma?,3,3,lack of progress in addressing human rights as well as long standing issues of impunity by the armed forces,1
1102,who was the first president to greet man in the left of the image at the white house?,1,1,Former president Bush,1
1103,who is the daughter of man in the right of the image?,0,0,Zindzi Mandela,1
1104,who is the daughter of man in the right of the image?,1,2,Zinzdi Mandela,0
1105,when did person in the right of the image get out of prison?,1,2,2008,0
1106,why is man in the right of the image in hospital?,3,3,a recurrent lung infection,1
1107,who is the son of person with the black suit in the image in lebanon?,3,3,former prime minister Saeb Salam. His grandfather served under the Ottoman Empire and the French colonial mandate.,1
1108,what is the message of person in the right of the image?,3,3,mercy,1
1109,who said i am person in the right of the image of the church?,0,0,the pope,1
1110,what is wrong with syria according to woman in the left of the image?,0,3,support for the Assad regime,0
1111,who is person in the center of the image who is exhibiting in venice this year?,3,3,Ai Wei Wei,1
1112,who is the leader of person with the glasses in the image in kenya election?,0,3,John Pombe Magufuli,0
1113,who did man in the center of the image in poland in 2013?,0,2,Vladimir Putin,0
1114,where is person in the left of the image of iran meeting with the international agency?,1,1,Vienna,1
1115,who met with person in the image in china?,1,2,Xi Jinping,0
1116,who is backing man in the left of the image for prime minister of pakistan?,3,1,Mian Farooq Ahmed Khan,0
1117,how much does maize cost in zambia under person with the black suit in the image?,0,0,$15.00 per 25-kilogram bag.,1
1118,who is supporting person in the image to bomb syria?,3,2,opposition UKIP leader Ed Miliband,0
1119,who has been talking to person with the black suit in the image about deficit reduction?,1,0,The President and his economic advisors,0
1120,who is talking to person in the left of the image about the deficit?,2,0,The Democrats are talking to the Republicans about the deficit.,0
1121,what is the new role of the mayor of caracas under man with the black jacket in the image?,2,2,Minister for the Transformation of Caracas,1
1122,what is the role of the mayor of venezuela under man in the bottom of the image?,0,3,Minister of the Interior,0
1123,what is the punishment for person in the image in the bombing in boston?,3,3,life in prison,1
1124,where did man in the image run to after the bombing?,1,1,"Watertown, just outside Boston, not long after the MIT officer was shot.",1
1125,where did man in the image hide in the marathon bombing?,0,2,a backyard in Boston,0
1126,who met with person in the bottom of the image in berlin today?,0,0,John Kerry,1
1127,what was the charge against person in the left of the image of ukraine?,1,0,fraud,0
1128,who is man in the left of the image in ukraine?,2,2,Tymoshenko,1
1129,where did person with the red jacket in the image and hazir go after the bombing in boston?,1,0,"Boston, the state capital of Massachusetts",0
1130,who was the main speaker at the united nations celebration of man in the left of the image?,2,0,Jimmy Carter,0
1131,what is the significance of person in the left of the image in world history?,1,3,the restoration of slavery and shared inhumanity,0
1132,who gave the keynote address at the united nations honoring person in the left of the image?,0,0,Bill Clinton,1
1133,who said man in the left of the image is a giant among men?,3,3,Jesse Jackson,1
1134,what is the name of woman with the white shirt in the image who is visiting britain?,0,0,President Thein Sein,1
1135,when does mykola person in the image sign a free trade agreement with the eu?,0,3,October,0
1136,what is the charge against person in the bottom of the image?,3,0,complicity in the killings of hundreds of protesters during the 2010 uprising that led to his resignation,0
1137,who is the president of venezuela now man in the image is out of jail?,3,0,Maduro,0
1138,what is the percentage of man in the right of the image in jordan?,3,1,"18 percent of the registered marriages of Syrians in Jordan involved over-18-year-olds, up from 12 percent a year before, he said",0
1139,where did person in the right of the image work in boston after the bombing?,0,0,Whiskey's Smokehouse restuarant on Boylston Street,1
1140,who is person in the image of state traveling to the middle east?,0,0,John Kerry,1
1141,who directed the film rhino season by person in the image?,2,1,French-Algerian director Rachid Bouchareb,0
1142,woman in the image whose film rhino season was banned in iran?,2,2,Bahman Ghobadi,1
1143,who directed rhino season by person in the image?,3,3,Kurdish-Iranian director Bahman Ghobadi,1
1144,where do person in the image in china want to see more transparency?,0,0,"oil refineries and petrochemical facilities in China, particularly those that produce paraxylene or PX,",1
1145,where do man in the image in china want to see more transparency?,3,3,"oil refineries and petrochemical facilities in China, particularly those that produce paraxylene or PX,",1
1146,who was man in the image of libya before the revolution?,2,0,Muammar Gaddafi,0
1147,where man in the left of the image lose in 2012 election?,0,0,"three big states and the capital, Delhi.",1
1148,where did man in the center of the image get her education from?,0,0,Pakistan's Swat Valley last October,1
1149,who wrote the letter man in the center of the image?,2,2,Rasheed,1
1150,who announced the european aid to woman in the left of the image?,0,0,European Commission President Jose Manuel Barroso,1
1154,who is trying to get man in the right of the image back to the us?,2,2,Attorney General Eric Holder,1
1155,where is person in the right of the image being held in russia?,2,2,Moscow,1
1156,where does man in the right of the image want to go after leaving the us?,2,2,Latin America,1
1157,what was iran's reaction to the ottoman government of man with the black suit in the image?,1,0,"a dismissive response, calling the people's demands unfounded and urging them to stand down.",0
1158,what is iran's reaction to person with the black coat in the image?,1,1,"a guarded response, calling for the people's ""legitimate demands"" to be fulfilled and warning of ""foreign and enemy opportunism"".",1
1159,who is visiting pakistan in the next few days as woman with the black suit in the image to the united states?,2,2,John Kerry,1
1160,who is visiting pakistan with woman in the left of the image?,1,1,U.S. Ambassador Richard Olson,1
1161,who is visiting pakistan in the next few days to meet with person in the left of the image?,3,3,John Kerry,1
1162,who met with man in the right of the image in philippines?,2,3,Nguyen Xuan Phuc,0
1163,who met man in the right of the image in the philippines last week?,0,2,Indonesian President Joko Widodo,0
1164,philippines person in the right of the image with vietnamese foreign minister in vietnam?,1,3,Dang Thi Ngoc Thinh,0
1165,who is the foreign minister of person in the right of the image?,1,0,Chinese Foreign Minister Wang Yi,0
1166,philippines foreign minister talks to man in the right of the image in vietnam?,0,1,Dang Thi Ngoc Thinh,0
1167,where did the earthquake hit in pakistan and man in the image died?,1,3,Quetta,0
1168,who is the alleged leader of man in the image?,2,3,"U.S.-based Hector Xavier Monsegur, known as ‚ÄúHector''",0
1169,who was the man who was shot by man in the right of the image in washington dc?,2,0,Rasheed,0
1170,where was person in the right of the image held in kampala?,0,1, in the leafy recesses of a botanical garden about 30 miles from Entebbe,0
1171,what is the situation of person in the right of the image and lesbian in uganda?,3,1,Person is in the left of the image and lesbian is in the right,0
1172,who was man with the black suit in the image of the united states when the soviet union collapsed in 2008?,2,2,President Obama,1
1173,which four african leaders did person in the center of the image meet in the white house?,1,1,Malawi,1
1174,who did person in the center of the image send his thoughts to during his state of the union address?,0,1,Barack Obama,0
1175,who is man with the black suit in the image of sierra leone in africa?,0,2,EUREST BAi KOROMA,0
1176,who is person in the right of the image of japan that went to china?,3,3,Abe,1
1177,what was the challenge for person in the image in shakespeare in love?,1,2,creating a more modern adaptation of the story,0
1178,what was the challenge for man in the image in louis dicaprio's shakespeare?,1,3,making the story incomprehensible for today's audiences,0
1179,who sings in the gatsby movie with person in the image?,0,0,Lana Del Ray,1
1180,how much money does the us have in the black hole under person in the right of the image?,1,3,$14 billion short of what it needs to pay all of its bills,0
1181,who has to make the next payment if person in the right of the image goes into default?,1,1,Treasury Department,1
1182,who was killed in karachi by person in the right of the image?,1,2,Baraa Shahid Hussain,0
1183,who was killed in karachi by person in the right of the image?,0,1,Baraa Shahid Hussain,0
1184,who was killed in karachi by person in the right of the image?,0,3,Baraa Shahid Hussain,0
1185,who is the prime minister of pakistan after man in the right of the image won the election?,2,3,Opposition leader Imran Khan,0
1186,why was woman with the black coat in the image arrested in britain in 2013?,3,3,to intimidate,1
1187,what happened to person in the left of the image when he was in the uk?,1,0,not under the Terrorism Act,0
1188,what happened to linel woman with the black jacket in the image in the uk?,3,3,lawfully detained under the Terrorism Act and later released.,1
1189,who is person with the black coat in the image in the british gazette case?,1,3,jonathan barnbrook,0
1190,where was person with the black shirt in the image detained in london?,3,2,Frankfurt Airport on his way home to Rio de Janeiro from Berlin.,0
1191,who is the defense minister of australia and woman with the white shirt in the image from india?,1,2,Toni,0
1192,what is the significance of the meeting between person in the left of the image and american president?,2,2,"a very significant message that Nawaz Sharif has conveyed to the American visitor and what he is also signaling is that he can be expected to take a strong position on drone strikes in Pakistan,"" said Lodhi.",1
1193,who met with person in the left of the image after the drone strike in pakistan?,1,1,U.S. special envoy for Pakistan and Afghanistan James Dobbins,1
1194,who did person in the image in the knesset on Wednesday?,2,0,Palestinian President Bashar Abbas,0
1195,when did man in the image say fair game for all?,2,0,"August 8, 2013 ",0
1196,who was known as man with the black coat in the image who spent the most money?,2,2,Margaret Thatcher,1
1197,who does peng liyuan serve as man in the image to?,2,1,UNAIDS goodwill ambassador,0
1198,where is the first lady of china located in man in the image?,1,0,Forbidden City,0
1199,why is china sending person in the image to africa?,1,3,to exploit natural resources,0
1200,when was person in the right of the image offered the chance to perform at the winter olympics?,0,2,the beginning of April's Winter Games in Sochi.,0
1201,when was person in the right of the image supposed to perform in russia?,3,3,at the beginning of February's Winter Games in Sochi.,1
1202,how long is person in the image in prison in britain?,3,0,50-year sentence for being caught with 50 grams of cocaine,0
1203,where was man in the image sent to prison after he was convicted of war crimes?,0,3,"The Hague, in France",0
1204,where did woman in the image go after the nsa leaker?,0,3,Belgium,0
1205,who was questioned by person in the image at the home affairs select committee?,1,1,Andrew Parker,1
1206,why did man in the left of the image of state visit the palestine?,1,1,to show both sides the benefits of peace,1
1207,what is the priority for man in the left of the image in the middle east?,3,2,determining the future of Iran's nuclear program,0
1208,who is the mother of man in the left of the image in greece?,2,0,a Syrian woman,0
1209,who is person in the left of the image that is the mom of the blond angel?,2,2,Bulgarian Roma woman,1
1210,who is person in the image of kenya at the time of the mall attack?,0,0,Uhuru Kenyatta,1
1211,what is the charge against person in the image of kenya?,3,1,encouraging ethnic hatred and division in the lead-up to the 2007/2008 election,0
1212,who is man in the image of kenya at the time of the mall attack?,2,2,Uhuru Kenyatta,1
1213,who is accompanying man in the image in south sudan?,1,2,permanent envoy Zhong Jianhua,0
1214,what is wrong with person in the top of the image in venezuela?,0,2,The person has a large open wound,0
1215,what is the cause of the death of person in the top of the image?,3,1,suicide,0
1216,how many cities in india host the ganges festival of man in the right of the image?,3,3,four,1
1217,who did person in the left of the image in amman in 2013?,1,2,Israel,0
1218,where did the funeral of man in the left of the image take place?,3,2,Gaborone,0
1219,where is man in the left of the image of africa going to be buried?,3,0,North Africa,0
1220,where did the funeral of man in the left of the image take place?,1,3,Zimbabwe,0
1221,where is person in the left of the image buried in south africa?,0,3,Lusikisiki,0
1222,who is backing man in the left of the image in the senate health care bill?,0,3,Senate Majority Leader Mitch McConnell,0
1223,who is man in the left of the image of the senate right now?,3,2,Senate President Pro Tempore Patrick Leahy,0
1224,where is person in the image going to visit?,1,2,Uranium Producer Congo,0
1225,when does person with the glasses in the image have to appear in court?,0,3,4-May,0
1226,what was the cause of the liga supermarket collapse that killed person in the image?,0,3,the Maxima cinema,0
1227,how old is man in the image when he is appointed to the senate?,3,3,60,1
1228,who is man in the image to africa?,2,2,Russell Feingold,1
1229,who is man in the image to africa?,2,2,Russell Feingold,1
1230,who is running against person in the image for president in montenegrin?,2,1,Miodrag Lekic on 49 percent,0
1231,who wrote most of the songs for person in the right of the image?,2,2,Billy Joel,1
1232,who is person in the right of the image for the kennedy center?,0,0,Billy Joel,1
1233,how many copies of stronger man in the image sold?,3,3,4.245 million copies,1
1234,what was the sentence for man with the black coat in the image and alyokhina?,2,1,Three year sentences in penal colonies,0
1235,who is the girl in man in the right of the image?,1,3,3)Nadezhda Tolokonnikova,0
1236,who is person in the image of kampala ugandan capital?,3,2,the President of Uganda.,0
1237,who is man in the image of kampala ugandan capital?,2,3,Prime Minister Ruhakana Rugunda,0
1238,what is the charge against person in the image of kampala?,1,2,soliciting bribes,0
1239,according to person in the image the three pillars of a pragmatic approach to intervention are?,0,2,whether or not mass homicide is occurring,0
1240,who is the co-author of the senate bill with man with the glasses in the image?,3,1,Republican Senator John McCain,0
1241,what is the priority for man with the glasses in the image in the senate?,2,3,a repeal of U.S. immigration laws,0
1242,who is working with man in the right of the image on a path to legalization?,2,2,Republican Senator Lindsey Graham,1
1243,what was the reaction to the comments made by person in the image?,0,0,"British ambassador Mark Lyall Grant, president of the Security Council this month, who discussed the Council’s closed door talks on Libya that followed Mitri",1
1244,who produced man in the center of the image?,3,3,Mike Elizondo,1
1245,where did person with the glasses in the image of ultra-orthodox protesters pray at the wall?,3,3,some 50 meters (54 yards) from the Western Wall,1
1246,who is going to meet with person in the image at the g20 summit?,3,1,"Canadian Prime Minister Justin Trudeau at the summit in St. Petersburg, Russia.",0
1247,who is running for president in kenya as person in the left of the image?,2,3,Raila Odinga,0
1248,who is running for president in kenya with man in the left of the image?,0,3,Raila Odinga ,0
1249,what was man in the left of the image talking about during his visit to south africa?,1,1,the problems of youth,1
1250,person in the left of the image of south africa visit?,0,3,Wits Soweto campus,0
1251,who is man in the left of the image of the university of south africa?,3,3,Obama,1
1252,name of person in the center of the image to the un?,2,1,Reza Najafian,0
1253,which state in sri lanka has the largest population of person in the right of the image?,0,3,North Tamil Nadu state,0
1254,who is man with the black coat in the image of south korea in the united states?,1,0,Minister of Foreign Affairs Yun,0
1255,who did man in the right of the image meet with in south korea?,3,1,President Moon,0
1256,who is visiting the united states with man with the black coat in the image?,1,3,Prime Minister Park,0
1257,who is person in the left of the image of qatar who has stepped down?,3,3,Hamad Bin Jassim,1
1258,when did person in the top of the image start to be restricted in russia?,2,1,2012,0
1259,who is the opposition leader in zimbabwe who is challenging man in the left of the image?,0,2,Julius Malema,0
1260,who is the opposition leader in zimbabwe who challenged person in the left of the image?,0,1,Nelson Chamisa,0
1261,who is the opposition leader in zimbabwe who challenged man in the left of the image?,0,0,Morgan Tsvangirai,1
1262,what was the knife found at the scene of person in the image?,2,1,a carving knife presumed to have been used in the murder,0
1263,where did person in the image go after he was arrested?,3,3,Moscow,1
1264,what is the significance of woman in the image in russia?,2,0,"This is someone who would do nothing for their own country and so that’s hard to respect for most ordinary people, including Russians.",0
1265,where did edward snowden work as person in the image?,3,0,Beijing,0
1266,when did person in the right of the image of south africa leave hospital?,1,3,Monday morning,0
1267,when did man in the right of the image leave hospital in south africa?,1,3,Friday morning,0
1268,who is woman in the image who is under investigation for corruption?,3,1,Miguel √Ångel Rodr√≠guez,0
1269,who is woman in the image who is under investigation for fraud?,0,3,Nicolas Sarkozy,0
1270,what is the name of woman in the right of the image who shot up the liberation newspaper?,3,2,Duchar,0
1271,why is woman in the left of the image being charged with murder in china?,3,3,politically motivated,1
1272,who is woman in the left of the image of liu ziaobo speaking to?,2,0,Liu Xiaobo,0
1273,how long does person in the image have to stay in russia?,2,0,two years,0
1274,who was elected person in the left of the image of egypt in 2012?,1,1,Mohamed Morsi,1
1275,when does man in the image visit israel?,0,0,Tuesday,1
1276,when does european president trojan person in the image israel?,0,0,Tuesday,1
1277,when did woman in the left of the image become permanent residents of israel?,1,1,1993,1
1278,when did woman in the left of the image become permanent residents of israel?,3,1,1995,0
1279,why is east jerusalem experiencing poverty in woman in the left of the image?,3,1,Palestinian neglect,0
1280,when did woman in the right of the image go to the hospital in south africa?,0,0,8-Jun,1
1281,when did person with the black suit in the image quit as president of ukraine?,0,3,person with the black suit in the image quit as president of ukraine sometime after Wednesday's talks with Yanukovych,0
1282,when did person in the center of the image sign the association agreement with the eu?,2,1,"9, 2014",0
1283,who did catherine person in the center of the image in kiev in 2013?,2,2,Viktor Yanukovych,1
1284,who is man in the image of kenya?,2,2,Odinga,1
1285,who is going to be with man with the black dress in the image oregon at the george george bush library?,3,0,George Clooney,0
1286,who is going to be with person in the center of the image at the georgia bush library?,1,0,George W. Bush,0
1287,who is going to meet with person with the purple suit in the image in syria?,1,1,Lakhdar Brahimi,1
1288,who is woman in the right of the image of the united nations going to meet with in syria?,1,1,Lakhdar Brahimi,1
1289,who is man in the center of the image of the us national democratic institute?,1,1,Albright,1
1290,who was person in the center of the image of state to visit burma?,1,3,current U.S. Secretary of State Madeleine Albright,0
1291,who is visiting burma with person in the center of the image?,3,3,former U.S. Secretary of State Madeleine Albright,1
1292,who attacked the westgate shopping mall in kenya and killed man with the sunglasses in the image?,0,2,Kenyan Government,0
1293,what did person in the left of the image of the united states give iran?,1,1,a ceremonial drinking vessel that dates back to the 7th century B.C.,1
1294,what was person in the image of north korea talking about?,1,3,a coastal detachment said to be ready to attack South Korea's frontier Pyongyang island,0
1295,when did person in the image implement an austere budget?,0,3,early 2013,0
1296,what was the main goal of the meeting with person in the image?,2,1,two different states,0
1297,when did man in the right of the image meet with the kurdish parliament in turkey?,2,3,late January,0
1298,what is the sentence for man in the right of the image?,3,3,life sentence for treason,1
1299,what is the sentence for the pakistan pakistans ( pkp ) person in the right of the image?,3,3,life sentence for treason,1
1300,what is the sentence for man in the right of the image of the pakistan pakistans?,0,2,life sentence for terrorism,0
1301,who is man in the bottom of the image of the china zhi xian party?,2,2,disgraced senior politician Bo Xilai,1
1302,when did man with the glasses in the image get arrested?,2,1,November,0
1303,when did person with the glasses in the image of china's vice premier get arrested?,0,0,September,1
1304,who is the leader of china's new political party formed by man in the bottom of the image of?,3,1,desired political party formed by former president Bo Xilai,0
1305,who administered the oath of office to person in the left of the image of the united states?,3,3,The chief justice,1
1306,who is running for president after person in the left of the image leaves the presidency?,2,0,Sarah Palin,0
1307,who is going to be the us president when person in the left of the image is sworn in?,0,0,Chief Justice John Roberts.,1
1308,who is taking over for person in the left of the image?,3,3,Chief Justice John Roberts,1
1309,who is person in the left of the image of the us supreme court?,2,0,Antonin Scalia,0
1310,who was the last president to be sworn in twice by person in the left of the image?,3,3,Obama,1
1311,when do the cardinals vote for person in the center of the image?,3,0,March 24 -- 15 days after Pope Benedict XVI formally steps down,0
1312,when did pope benedict become person in the center of the image?,0,3,2006,0
1313,who is the ex wife of person with the black shirt in the image usher?,1,1,Tameka Foster,1
1314,what was the subject of person in the right of the image with the tech companies last week?,2,2,national security and economic impacts of the government's unauthorized intelligence disclosures,1
1315,who has the power to remove man in the image from office?,2,2,provincial law,1
1316,how can the city of toronto remove man in the image from office?,1,3,By voting him out,0
