index,qid,question,origanswer,generatedanswer,generatedanswers
80,2046,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make bushcraft bannock bread mix. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",a,b. I-IV-III-II,['b. I-IV-III-II']
81,2047,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make chocolate chip whoopie pies. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",d,d. II-I-IV-III,['d. II-I-IV-III']
82,2048,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make ham and pineapple pinwheels. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",a,c. II-III-I-IV,['c. II-III-I-IV']
83,2049,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make how to can cabbage. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",a,d. II-I-IV-III,['d. II-I-IV-III']
84,2050,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make pie pops. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",d,d. II-I-IV-III,['d. II-I-IV-III']
85,2051,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make cranberry sauce. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",b,d. II-I-IV-III,['d. II-I-IV-III']
86,2052,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make vainilla mocktail float. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",b,d. II-I-IV-III,['d. II-I-IV-III']
87,2053,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make easy homemade ice cream in a baggie. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",b,d. II-I-IV-III,['d. II-I-IV-III']
88,2054,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make apple lattice pie. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",c,c. II-III-I-IV,['c. II-III-I-IV']
89,2055,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make cranberry oatmeal cookies. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",b,c. II-III-I-IV,['c. II-III-I-IV']
90,2056,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make baked caramel apple doughnuts. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",c,b. I-IV-III-II,['b. I-IV-III-II']
91,2057,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make life hack 101 snack emergency kit. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",d,d. II-I-IV-III,['d. II-I-IV-III']
92,2058,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make banana hanger a way to conserve more time. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",b,d. II-I-IV-III,['d. II-I-IV-III']
93,2059,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make green tea meringues with nutella. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",a,Option c is correct. The order should be II-III-I-IV.,['Option c is correct. The order should be II-III-I-IV.']
94,2060,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make circumferencediameter pi . Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",a,The correct order of steps is I-IV-III-II.,['The correct order of steps is I-IV-III-II.']
95,2061,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make be a lunch hero. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",c,d. II-I-IV-III,['d. II-I-IV-III']
96,2062,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make skyrim boiled cream treat. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",a,d. II-I-IV-III,['d. II-I-IV-III']
97,2063,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make how to cook bacon in the oven. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",b,d. II-I-IV-III,['d. II-I-IV-III']
98,2064,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make a cookie cutter. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",c,d. II-I-IV-III,['d. II-I-IV-III']
99,2065,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make chocolate chip whoopie pies. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",b,I. Preheat oven to 375 degrees F (190 degrees C).,"['I. Preheat oven to 375 degrees F (190 degrees C).', 'II. In a small bowl, stir together flour, baking powder, salt, and baking soda.', 'III. In a large bowl, cream together the butter, brown sugar, and white sugar until light and fluffy. ', 'IV. Beat in the eggs one at a time, then stir in the vanilla.', 'The correct answer is b. I-IV-III-II.']"
100,2066,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make life changing egg trick. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",b,d. II-I-IV-III,['d. II-I-IV-III']
101,2067,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make carrot cake recipe. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",a,a. I-II-IV-III,['a. I-II-IV-III']
102,2068,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make banana boat. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",c,d. II-I-IV-III,['d. II-I-IV-III']
103,2069,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make halloween treat. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",c,The correct order of steps is d. II-I-IV-III.,['The correct order of steps is d. II-I-IV-III.']
104,2070,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make orange peel lined chocolate cupcakes. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",b,d. II-I-IV-III,['d. II-I-IV-III']
105,2071,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make tmnt camouflage cupcakes. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",d,d. II-I-IV-III,['d. II-I-IV-III']
106,2072,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make drunken chicken easy white wine chicken. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",d,d. II-I-IV-III,['d. II-I-IV-III']
107,2073,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make potato and cabbage fry. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",d,The correct order of steps is b. I-IV-III-II.,['The correct order of steps is b. I-IV-III-II.']
108,2074,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make rendang the spicy food from indonesia. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",c,d. II-I-IV-III,['d. II-I-IV-III']
109,2075,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make vegan french apple pie. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",a,c. II-III-I-IV,['c. II-III-I-IV']
110,2076,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make hashbrown casserole. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",b,a. I-II-IV-III,['a. I-II-IV-III']
111,2077,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make butterbeer from harry potter. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",c,b. I-IV-III-II,['b. I-IV-III-II']
112,2078,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make poteca bread. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",b,b. I-IV-III-II,['b. I-IV-III-II']
113,2079,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make smores cookies. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",c,d. II-I-IV-III,['d. II-I-IV-III']
114,2080,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make pizza rolls. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",a,d. II-I-IV-III,['d. II-I-IV-III']
115,2081,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make moroccan three bean and kale soup. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",b,The correct order of steps is c. II-III-I-IV.,['The correct order of steps is c. II-III-I-IV.']
116,2082,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make bite sized smores. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",a,d. II-I-IV-III,['d. II-I-IV-III']
117,2083,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make faberge eggs. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",d,The order of steps should be: I-II-IV-III.,['The order of steps should be: I-II-IV-III.']
118,2084,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make sauteed apple shortcake. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",a,b. I-IV-III-II,['b. I-IV-III-II']
119,2085,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make greek yogurt berries smoothie. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",d,d. II-I-IV-III,['d. II-I-IV-III']
120,2086,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make vodka penne. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",c,d. II-I-IV-III,['d. II-I-IV-III']
121,2087,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make better roman noodles. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",d,d. II-I-IV-III,['d. II-I-IV-III']
122,2088,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make naughty chocolate. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",d,The correct order of steps I-IV is d. II-I-IV-III.,['The correct order of steps I-IV is d. II-I-IV-III.']
123,2089,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make cherry plum tarts for a wannabe fancy pants. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",d,b. I-IV-III-II,['b. I-IV-III-II']
124,2090,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make the cookie. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",b,c. II-III-I-IV,['c. II-III-I-IV']
125,2091,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make vodka infusions soak technique coconut and mango. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",d,c. II-III-I-IV,['c. II-III-I-IV']
126,2092,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make coffee bean cookies. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",a,The correct order of steps is b. I-IV-III-II.,['The correct order of steps is b. I-IV-III-II.']
127,2093,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make chocolate treasure. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",b,d. II-I-IV-III,['d. II-I-IV-III']
128,2094,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make pickled red beets. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",b,c. II-III-I-IV,['c. II-III-I-IV']
129,2095,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make garlic spaghetti. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",c,d. II-I-IV-III,['d. II-I-IV-III']
130,2096,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make jello salad. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",d,Answer: c. II-III-I-IV,['Answer: c. II-III-I-IV']
131,2097,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make super simple glutenfree rolls. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",c,d. II-I-IV-III,['d. II-I-IV-III']
132,2098,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make grilled cheese and bacon sandwich. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",b,a. I-II-IV-III,['a. I-II-IV-III']
133,2099,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make chicken in peanut mole sauce. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",c,The correct order of steps is c. II-III-I-IV.,['The correct order of steps is c. II-III-I-IV.']
134,2100,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make moroccan three bean and kale soup. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",d,d. II-I-IV-III,['d. II-I-IV-III']
135,2101,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make frozen pumpkin pie. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",a,c. II-III-I-IV,['c. II-III-I-IV']
136,2102,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make maple candy. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",d,b. I-IV-III-II,['b. I-IV-III-II']
137,2103,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make bushcraft bannock bread mix. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",c,d. II-I-IV-III,['d. II-I-IV-III']
138,2104,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make cinnamon simple syrup. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",b,d. II-I-IV-III,['d. II-I-IV-III']
139,2105,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make ghoul icious sausage and pumpkin soupits . Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",c,The correct order of steps is d. II-I-IV-III.,['The correct order of steps is d. II-I-IV-III.']
140,2106,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make authentic irish creme cocktail. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",c,The correct order of steps I-IV is b.,['The correct order of steps I-IV is b.']
141,2107,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make icecold bottles!. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",c,d. II-I-IV-III,['d. II-I-IV-III']
142,2108,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make homemade chili. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",a,The correct order of steps is b.,['The correct order of steps is b.']
143,2109,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make blueberry pi pie. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",d,d. II-I-IV-III,['d. II-I-IV-III']
144,2110,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make mini maypole cakes. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",c,d. II-I-IV-III,['d. II-I-IV-III']
145,2111,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make no bake cookies personalize them. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",c,d. II-I-IV-III,['d. II-I-IV-III']
146,2112,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make candy dispenser. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",b,c. II-III-I-IV,['c. II-III-I-IV']
147,2113,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make orange chicken gluten free bonus condiment dyn. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",b,d,['d']
148,2114,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make 5 cheese ziti al forno. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",a,The correct answer is c. II-III-I-IV.,['The correct answer is c. II-III-I-IV.']
149,2115,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make banana bites. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",a,The correct order of steps would be d. II-I-IV-III.,['The correct order of steps would be d. II-I-IV-III.']
150,2116,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make pepperoni pizza dip. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",a,d. II-I-IV-III,['d. II-I-IV-III']
151,2117,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make kite cake. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",c,The correct answer is c. II-III-I-IV.,['The correct answer is c. II-III-I-IV.']
152,2118,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make a bowl of cereal. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",d,d. II-I-IV-III,['d. II-I-IV-III']
153,2119,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make clay bacon. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",a,c. II-III-I-IV,['c. II-III-I-IV']
154,2120,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make condensed milk iced coffee. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",b,"The correct order is II-I-IV-III, or option d.","['The correct order is II-I-IV-III, or option d.']"
155,2121,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make white trash. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",c,d. II-I-IV-III,['d. II-I-IV-III']
156,2122,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make blackberry milk ice pops. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",b,The order of the steps should be d. II-I-IV-III.,['The order of the steps should be d. II-I-IV-III.']
157,2123,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make friday night negroni. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",b,c. II-III-I-IV,['c. II-III-I-IV']
158,2124,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make halloween rice krispie treats. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",b,d. II-I-IV-III,['d. II-I-IV-III']
159,2125,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make awesome mexican dip. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",b,d. II-I-IV-III,['d. II-I-IV-III']
