qid,gt_ans,pred_ans_blip,correctness_blip
1483,Ai Weiwei,Huang Xuan,0
1484,in the leafy London borough of Hampstead - on stage.,in the bustling London borough of Camden - on stage,0
1485,Syria,Iran,0
1486,Brotherhood supporters,Brotherhood opponents,0
1487,South Sudanese President Salva Kiir,South Sudanese President Salva Kiir,1
1488,"Montgomery, Alabama","Nashville, Tennessee",0
1489,Abe,Tanaka,0
1490,humans,humans,1
1491,two-thirds of both houses of parliament,two-thirds of both houses of parliament,1
1492,Barbara Bush,Hillary Clinton,0
1493,Barbara Bush,Beyonce,0
1494,"former first lady Barbara Bush, said son Jeb is the most qualified Republican to run in 2016, but told NBC's Today show, ""We've had enough Bushes.""","former first lady Barbara Bush, said son Jeb is the most qualified Republican to run in 2016, but told NBC's Today show, ""We need more Bushes.""",0
1495,Barbara Bush,George Bush,0
1496,Barbara Bush,Barbara Bush,1
1497,July,August,0
1498,Ratsiraka,Ratsiraka,1
1499,for health reasons,for health reasons,1
1500,Omar Hassan al-Bashir,Omar Hassan,0
1501,Salva Kiir,Salva Kiir,1
1502,July election,July election,1
1503,members of armed ethnic minority groups,members of armed ethnic minority groups,1
1504,Akbar Hashemi Rafsanjani,Mohammad Khatami,0
1505,Vali Amr,Vali Amr,1
1506,vast funds, begging,0
1507,Akbar Hashemi Rafsanjani,Hassan Rouhani,0
1508,Berlusconi,Trump,0
1509,defense lawyers said they did not need to hear the testimony of the Moroccan-born exotic dancer at the center of the case. Karima el-Mahroug,The Moroccan-born exotic dancer is not testifying against the man in the left of the image.,0
1510,Park Jae-sang,Kim Woo-bin,0
1511,LeLee,Lisa,0
1512,Tony Abbott,Paul McCartney,0
1513,seven,five,0
1514,seven,five,0
1515,"up to 15,000","up to 15,000",1
1516,Great Hall of the People,Great Hall of the People,1
1517,45 percent,45 percent,1
1518,45 percent,45 percent,1
1519,alleged laundering of money from Iran to circumvent international sanctions on Tehran,alleged smuggling of drugs from Afghanistan to Iran,0
1520,Fethullah Gulen,Binali Yildirim,0
1521,Prince Mahidol Award for outstanding contributions in public health.,Prince Mahidol Award for outstanding contributions in law.,0
1522,Wednesday,Tuesday,0
1523,1968,1969,0
1524,1968,1967,0
1525,1968,1975,0
1526,Cambodia,Cambodia,1
1527,Egyptian security forces,Egyptian army,0
1528,Sudanese Foreign Minister Ali Ahmed Karti,Spanish Foreign Minister Alfonso Dastis,0
1529,other undetermined factors,natural causes,0
1530,Benedict,Benedict,1
1531,Taliban militants with links to al-Qaida,Taliban militants with links to ISIS,0
1532,"A grand jury on Friday added 648 charges to a previous indictment against Ariel Castro, bringing the total number of charges against him to 977","A grand jury on Friday added charges to a previous indictment against Ariel Castro, bringing the total number of charges against him to 977",0
1533,"A grand jury on Friday added 648 charges to a previous indictment against Ariel Castro, bringing the total number of charges against him to 977","A grand jury on Friday added 648 charges to a previous indictment against Ariel Castro, bringing the total number of charges against him to 7",0
1534,metastasis in the lungs,cancer in the brain,0
1535,President Putin,Queen Elizabeth,0
1536,Konrad Adenauer Foundation,Konrad Adenauer Foundation,1
1537,if Ms. Merkel chooses to press Mr. Putin on NGO oppression and other rights issues,if Ms. Merkel chooses to press Mr. Putin on NGO oppression and other rights issues,1
1538,Secretary of State John Kerry,President Barack Obama ,0
1539,"speaker of the Republican-led House of Representatives, John Boehner","Speaker of the House of Representatives, Barack Obama",0
1540,Republicans,Republicans,1
1541,John Boehner,Bill Clinton,0
1542,Kirby,Kirby,1
1543,North Korean defectors living in the United States,American citizens living in North Korea,0
1544,Egyptian President Mohamed Morsi,Egyptian President Mohamed Morsi,1
1545,Italian radio,British radio,0
1546,Italian radio,Italian radio,1
1547,Nicholas Maduro,Nicholas Maduro,1
1548,Nicholas Maduro,Hugo Chavez,0
1549,opposition challenger Henrique Capriles,government candidate Nicolas Maduro,0
1550,Nicholas Maduro,Nicholas Maduro,1
1551,Raul Castro,Raul Castro,1
1552,Nicholas Maduro,Nicholas Maduro,1
1553,Maduro,Obama,0
1554,Raul Castro,Hugo Chavez,0
1555,Ecuador Embassy,Ecuador Embassy,1
1556,Nguyen Thien Nhan,Tran Van Minh,0
1557,10-Jan,12-Jan,0
1558,Cuba,Cuba,1
1559,Cuba,Cuba,1
1560,in Cuba,in Japan,0
1561,in Cuba,in Afghanistan,0
1562,in Cuba,in Cuba,1
1563,2002,2004,0
1564,Thursday,Tuesday,0
1565,Syrian opposition,ISIS,0
1566,Rome,Berlin,0
1567,the Russians,The Americans,0
1568,Iraq's Deputy Prime Minister for energy Hussain al-Shahristani,Iraq's President for energy Hussain al-Shahristani,0
1569,a Pretoria hospital,a Pretoria hospital,1
1570,in a Pretoria hospital where he remains in critical but stable condition.,in a Pretoria hospital where he remains in critical but stable condition.,1
1571,Jack Lew,John Lewis,0
1572,Morsi government,Morsi government,1
1573,a Moscow-led economic union - a move likely to deepen the country's political crisis.,to spread communism,0
1574,opposition leader Henrique Capriles,Government leader Nicolas Maduro,0
1575,opposition leader Henrique Capriles,government leader Nicolas Maduro,0
1576,Cairo,Cairo,1
1577,Cairo,Cairo,1
1578,Cairo,Cairo,1
1579,Senkaku,Seoul,0
1580,why his government was introducing unpopular road tolls to pay for a massive upgrade to Johannesburg's and Pretoria's motorways,why his government was introducing unpopular road tolls to pay for a massive upgrade to Johannesburg's and Pretoria's motorways,1
1581,Chief Justice Willy Mutunga,Bishop Willy Mutunga,0
1582,Chief Justice Willy Mutunga,Justice Willy Mutunga,0
1583,fifty-one,fifty-one,1
1584,Willy Mutunga,Billy Munga,0
1585,Mar-12,Jan-12,0
1586,Karim Wade,Karim Wade,1
1587,Ant√≥nio Em√≠lio Leite (Mia) Couto,Eug√©nio de Andrade,0
1588,Couto,Kuoto,0
1589,an Egyptian human rights activist,an Egyptian human rights activist,1
1590,All Progressive Congress (APC),All Progressive Congress (APC),1
1591,U.S. Secretary of State John Kerry,Palestinian President Mahmoud Abbas,0
1592,December of last year,January of this year,0
1593,Dmitry Kozak,Boris Johnson,0
1594,more facts about chemical weapons use in Syria before committing to stronger action against Assad's government.,Assad government never used chemical weapons in Syria.,0
1595,53,53,1
1596,53,53,1
1597,53,45,0
1598,Aliy Zirkle,Annie Dasher,0
1599,Aliy Zirkle,Annie Dasher,0
1600,one-year extension,two-year extension,0
1601,Xi Jinping,Xi Jinping,1
1602,Xi Jinping,Jinping,0
1603,Xi Jinping,Xi Jinping,1
1604,Xi,Xi,1
1605,Johannesburg,Melbourne,0
1606,The White House says the Obamas will not meet with the 94-year-old former leader during their South Africa trip,The White House says the Obamas will not meet with the 94-year-old former leader during their South Africa trip,1
1607,Johannesburg,Pretoria,0
1608,8-Jun,8-Jan,0
1609,8-Jun,8-June,0
1610,President Ernest Bai Koroma,President Julius Maada Bio,0
1611,28-Apr-13,12-Apr-13,0
1612,John Bolton,John Bolton,1
1613,PF party,PF party,1
1614,using the name of God to help in his campaign to become president,using the name of God to help in his campaign to become president,1
1615,105 rand,105 dollars,0
1616,2008,2008,1
1617,late last year,late last year,1
1618,late last year,late last year,1
1619,Esther Dyson,Sarah Dyson,0
1620,Bob Ferriera,Paul McCartney,0
1621,four freshmen in college,four freshmen in college,1
1622,12-Jun,2-Jun,0
1623,12-Jun,12-Jun,1
1624,Kinshasa,Mecca,0
1625,Foreman had a stamina problem,Frazier had a stamina problem,0
1626,second round,final round,0
1627,eighth round,third round,0
1628,George Foreman,Muhammad Ali,0
1629,an ‚Äúexternal enemy‚Äù trying to wreak havoc,The real enemy in Egypt is the army.,0
1630,U.S. Special Envoy to Sudan and South Sudan Donald Booth,U.S. Special Envoy to Sudan and South Sudan Donald Booth,1
1631,Republicans,Republicans,1
1632,Thursday,Tuesday,0
1633,Rustam Makhmudov,James Earl Ray,0
1634,Dzhabrail,Boston Marathon,0
1635,"a national and international conspiracy to unseat him, and that social media sites like Twitter and YouTube are key elements of the plotters",a group of conservative women who are fed up with the current administration,0
1636,Next year,This year,0
1637,2015,2012,0
1638,Shwe Mann,Suu Kyi,0
1639,Shwe Mann,Shwe Mann,1
1640,Ashraf Ghani,Hamid Karzai,0
1641,former finance minister Ashraf Ghani,former finance minister Ashraf Ghani,1
1642,April,October,0
1643,the new Israeli election,the new Israeli election,1
1644,next March,next January,0
1645,near a so-called high-security ‚ÄúRed Zone‚Äù in Islamabad,in the middle of a major city,0
1646,Tahir-ul-Qadri,Imran Khan,0
1647,Salwa Shabat, Hanan Ashrawi,0
1648,Salwa Shabat, Hanan Ashrawi,0
1649,Texas Health Presbyterian Hospital,Dallas Zoo,0
1650,President Paul Biya,President Paul Biya,1
1651,King Abdullah,King Abdullah,1
1652,King Abdullah,King Salman,0
1653,King Abdullah,King Salman,0
1654,King Abdullah,King George,0
1655,Joe Biden,Barack Obama,0
1656,78.89 points,99 points,0
1657,Russians Elena Ilinykh and Nikita Katsalapov,The American team of Madison Chock and Evan Bates,0
1658,Sulaimaniya province,Basra province,0
1659,thousands of keys once used in Stasi police barracks,A collection of ancient relics from the Byzantine Empire,0
1660,Friendly Temple Missionary Baptist Church,Anywhere Missionary Baptist Church,0
1661,"calling for the arrest of a white police officer who shot dead an unarmed black teenager in Ferguson, Missouri","calling for the arrest of a white police officer who shot dead an unarmed black teenager in Ferguson, Missouri",1
1662,in a northern Mali desert not far from the Burkina Faso border.,in a northern Mali desert not far from the Niger border.,0
1663,Qatar,Qatar,1
1664,Qatar,Spain,0
1665,Sheikh Hasina,Rajia Sultana,0
1666,7:00 AM,7:00 PM,0
1667,Iraq,Iraq,1
1668,10.5 million barrels per day (bpd),105 barrels per day (bpd),0
1669,Sam Smith,Adele,0
1670,"at their own Chateau Miraval, located in the South of France.","at their own Chateau Miraval, located in the South of France.",1
1671,Beijing,Beijing,1
1672,"King Bhumibol Adulyadej, 86,","Queen Sirikit, 84,",0
1673,"King Bhumibol Adulyadej, 86,","King Rama I, 46,",0
1674,International System Technology Company factory in Shenzhen,Apple factory in California,0
1675,"bounding, or limiting, Iran’s nuclear program and allowing some enrichment",Iran will be allowed to develop nuclear weapons,0
1676,"12,000 police","10,000 police",0
1677,2012,2012,1
1678,2012,2012,1
1679,78 domesticated elephants,78 domesticated elephants,1
1680,78 domesticated elephants,78 domesticated elephants,1
1681,Skolkovo research hub outside Moscow,Skolkovo research hub outside Moscow,1
1682,House Republicans,House Republicans,1
1683,House of Representatives,House of Representatives,1
1684,former national security chief Zhou Yongkang,Xi Jinping,0
1685,Hussein Hassan,James Smith,0
1686,hoping the situation is resolved quickly,hoping the situation is resolved quickly,1
1687,"a law boosting government control over the appointment of judges and prosecutors on Saturday, after a heated debate and a brawl that left one opposition lawmaker hospitalized.","A law boosting government control over the appointment of judges and prosecutors on Saturday led to a brawl between parliamentarians, leaving one opposition lawmaker hospitalized.",0
1688,in woods outside Kiev on January 30.,in woods outside Prague on January 30.,0
1689,unidentified assailants,Russian soldiers,0
1690,Vice President Guy Scott,Vice President Richard Nixon,0
1691,Vice President Guy Scott,Vice President Dick Scott,0
1692,Egypt,Egypt,1
1693,training anti-Islamist Libyan forces on its soil and sharing intelligence in a bid to stamp out militancy next door,training anti-Islamist Libyan forces on its soil and sharing intelligence in a bid to stamp out militancy in Egypt,0
1694,Ashraf Ghani,Hamid Karzai,0
1695,Ashraf Ghani,Abdullah Abdullah,0
1696,10 or 11.,3 or 4,0
1697,Sawat (Pakistan),Sawat (Pakistan),1
1698,"Tibet's spiritual leader, the Dalai Lama,","Tibet's spiritual leader, the Dalai Lama,",1
1699,five suspected Taliban terrorists,five suspected Taliban terrorists,1
1700,former finance minister Ashraf Ghani,former defense minister Ashraf Ghani,0
1701,former finance minister Ashraf Ghani,former president Hamid Karzai,0
1702,"intellectuals, urbanites, journalists, his critics and anyone he feels has turned away from traditional African values","The wealthy, the elite, and anyone who is not African",0
1703,Ahmad El Haggar,Ahmad El Haggar,1
1704,El Haggar,Alligator,0
1705,El Haggar,El Hatim,0
1706,Ahmad El Haggar,Jennifer Lopez,0
1707,Nuno Gomes Nabiam,Nuno Garcia,0
1708,Donald Tusk,Donald Tusk,1
1709,Germany,France,0
1710,South Asia Times,Asia Times,0
1711,South Asia Times,South Asia Times,1
1712,South Asia Times,Australia Times,0
1713,Kirkuk,Kirkuk,1
1714,Filipe Nyusi,Nelson Mandela,0
1715,Filipe Nyusi,Nelson Mandela,0
1716,Filipe Nyusi,Nelson Mandela,0
1717,Filipe Nyusi,Rodrigo Duterte,0
1718,Filipe Nyusi,Filipe Nyusi,1
1719,Frelimo presidential candidate Filipe Nyusi,Frelimo presidential candidate Antonio Carlos Magalhaes,0
1720,Filipe Nyusi,Luis da Fonseca,0
1721,Filipe Nyusi,Filipe Nyoni,0
1722,Red Hot Chili Peppers,Bon Jovi,0
1723,Renee Fleming,Madonna,0
1724,the Red Hot Chili Peppers,Maroon 5,0
1725,genocide,Murder,0
1726,2012,2012,1
1727,Robin Raphel,Robin Raphel,1
1728,Robin Raphel,Rachael Ray,0
1729,Edward Snowden,Chelsea Manning,0
1730,Lukaku,Messi,0
1731,De Bruyne,Hazard,0
1732,Adly Mansour,Mohamed Morsi,0
1733,regional superpower China,rising power China,0
1734,regional superpower China,regional superpower China,1
1735,Tony Abbott,Tony Blair,0
1736,former California governor Arnold Schwarzenegger,American president Barack Obama,0
1737,Former California governor Arnold Schwarzenegger,Former United States president Barack Obama,0
1738,Arnold Schwarzenegger,Sylvester Stallone,0
1739,opposition Cambodia National Rescue Party,"Phnom Penh, Cambodia",0
1740,opposition officers,civilians,0
1741,Jani Bergdahl,Jani Bergdahl,1
1742,Bismillah ar-Rahman ar-rahim,Bismillah ar-Rahim ar-rahim,0
1743,Bismillah ar-Rahman ar-rahim,Bismillah ar-Rahim ar-rahim,0
1744,"Scalfari, 90,","Smith, 45,",0
1745,6-Apr-14,6-Apr-15,0
1746,so-called Islamic State militants,Taliban insurgents,0
1747,President Obama,President Obama,1
1748,Eritrea,Sudan,0
1749,Sudan,Egypt,0
1750,Britain should not be afraid to call itself a Christian country,Christianity is not the only religion practiced in Britain.,0
1751,Terry Pratchett,Stephen King,0
1752,Gulen,Gulen,1
1753,Gul,Mustafa,0
1754,Fethullah Gulen,Putin,0
1755,Sunni resentment toward al-Maliki,The rise of the Islamic State group,0
1756,Sunni Muslims,Christians,0
1757,13-Jun-14,11-Jun-14,0
1758,Nouri al-Maliki,Saddam Hussein,0
1759,$110 per month,$20 per month,0
1760,workers will next petition foreign embassies to seek more pressure if an Oct. 10 meeting does not bear fruit.,workers will stop petitioning for a wage increase if the Oct. 10 meeting is fruitful.,0
1761,$110 per month,$10 per week,0
1762,Rekia Boyd,Rekia Boyd,1
1763,Laurent Fabius,Laurent Fabius,1
1764,Brian Moynihan,John Doe,0
1765,former NSA contractor Edward Snowden,Former CIA officer Aldrich Ames,0
1766,U.S. Army sergeant,U.S. Army sergeant,1
1767,a young Tennessee park ranger named Bobby Fulcher,a young Tennessee park ranger named Bobby Fulcher,1
1768,Betsey Patterson,Barbara Walters,0
1769,American Folklife Center at the Library of Congress,National Library of Australia,0
1770,"Clyde Davenport and his handmade fiddle, March 20, 2013 (Courtesy: Bobby Fulcher)","Clyde Davenport is not a real person, he is a character played by an actor.",0
1771,Tokyo-born architect Shigeru Ban,French architect Fernand Pouillon,0
1772,Chibok,Shibak,0
1773,David Brat,Eric Cantor,0
1774,David Brat,Kevin McCarthy,0
1775,David Brat,John Rat,0
1776,Platon Lebedev,Roman Lebedev,0
1777,President Xi Jinping,President Barack Obama,0
1778,Raul Castro,Fidel Castro,0
1779,Raul Castro,Fidel Castro,0
1780,Korean-American BettySoo,White American BettySoo,0
1781,Korean-American BettySoo,Korean-American BettySoo,1
1782,Akshay Thakur,Akash Thakur,0
1783,Vinay Sharma,Vinay Sharma,1
1784,Vinay Sharma,Vinay Sharma,1
1785,All Progressive's Congress,All Progressive's Union,0
1786,providing Amnesty International with a ‚Äúbetter understanding of the situation in Thailand,providing the center with a ‚Äúbetter understanding of the situation in Thailand,0
1787,Saweto,Brazil,0
1788,Pioneering TV Comedian Sid Caesar Dies at 91,Overweight Comic Bill Murray Dies at 57,0
1789,Marina Silva,Marina Silva,1
1790,Marina Silva,Marina Silva,1
1791,Luhansk and Donetsk,Luhansk and Donetsk,1
1792,"a pro-Russian rebel leader was sworn in as the head of a self-declared ""people's republic"" in eastern Ukraine, following elections condemned by the United Nations, the United States, the European Union and Kyiv as illegal and destabilizing","a pro-Russian rebel leader was sworn in as the head of a self-declared ""people's republic"" in eastern Ukraine, following elections condemned by the United Nations, the United States, the European Union and Kyiv as illegal and destabilizing",1
1793,"regulates the appointments process, the transfers, suspension, [and] disciplinary proceedings against judges. It deals with matters relating to enhancing transparency, the accountability of the judicial system. It defines and makes clear what’s the role of judges and the prosecutors in order to avoid confusion on the roles of each one,","regulates the appointments process, the transfers, suspension, [and] disciplinary proceedings against judges. It deals with matters relating to enhancing transparency, the accountability of the judicial system. It defines and makes clear what’s the role of judges and the prosecutors in order to avoid confusion on the roles of each one,",1
1794,Defense lawyer Nicolas Kaufman,Judge Kaufman,0
1795,"Oct. 23, 2014","July 23, 2014",0
1796,China,China,1
1797,"Andrews Air Force Base, Md.","Buckingham Palace, London",0
1798,Old Bailey court in London.,Old Bailey court in London.,1
1799,46,26,0
1800,Sunni extremists,Shia militants,0
1801,Sinjar in northern Iraq,Tal Afar in northern Iraq,0
1802,Fania All Stars,Willie Colon,0
1803,"Jose Luis ""Cheo"" Feliciano","Luis ""Cheo"" Feliciano",0
1804,Palestinian leader Mahmoud Abbas,Palestinian leader Yasser Arafat,0
1805,Palestinian leader Mahmoud Abbas,Allah,0
1806,Shimon Peres,Shimon Peres,1
1807,Palestinian leader Mahmoud Abbas,Pope Francis,0
1808,Palestinian leader Mahmoud Abbas,Russian president Vladimir Putin,0
1809,"Sept. 19, 2014","Sept. 19, 2013",0
1810,Carl Lewis,Jimmie Johnson,0
1811,two-time Olympian Dr. Francis Dove Erwin,non-Olympian Dr. Francis Dove Erwin,0
1812,opposition United Democratic Party,opposition United Democratic Party,1
1813,northern Mali (called Azawad),northern Afghanistan (called Azawad),0
1814,about 13 percent,about 12 percent,0
1815,John McCain,John McCain,1
1816,Michel Martelly,Michel Martelly,1
1817,28 years and six months,2 years and six months,0
1818,28 years and six months,28 years and six months,1
1819,28 years and six months,30 years and six months,0
1820,Meredith Kercher,Samantha Jones,0
1821,President Salva Kiir,former President Barack Obama,0
1822,Tel Hashomer hospital,JFK hospital,0
1823,political fraud,political fraud,1
1824,President Sarkozy,President Hollande,0
1825,"German President Joachim Gauck in the crypt of the the National Monument of Hartmannswillerkop, in Wattwiller, eastern France","German President Joachim Gauck in the crypt of the the National Eiffel Tower, in Paris, France",0
1826,"German President Joachim Gauck in the crypt of the the National Monument of Hartmannswillerkop, in Wattwiller, eastern France","German President Joachim Gauck in the crypt of the the National Eiffel Tower, in Paris, France",0
1827,Indonesia Expand Internet Access,Indonesia Expand Internet Access,1
1828,Iraqi Ambassador to VOA: 'Setting up Government is the Easy Part',Iraqi Ambassador to VOA: 'Government is the Hard Part',0
1829,20-Jul,20-Jul,1
1830,a number of gaps remain,a number of gaps remain,1
1831,Mohammad Javad Zarif,Rohani,0
1832,opposition military leader Peter Gadet,Opposition leader Peter Gadet,0
1833,opposition leader Riek Machar,rebel leader Riek Machar,0
1834,General Prayuth as the favored candidate to be prime minister,General Prayuth is not the prime minister of Thailand.,0
1835,United Mine Workers of America,Service Employees International Union,0
1836,Liberian Thomas Eric Duncan,Nigerian Thomas Eric Duncan,0
1837,Samson Sivhada,Nelson Mandela,0
1838,Samson Sivhada,Nelson Mandela,0
1839,Islamist leaders representing the Taliban,government officials representing the Taliban,0
1840,Poroshenko,Trump,0
1841,Foreign Medics Treat N. Korean Leader,Chinese Medics Treat N. Korean Leader,0
1842,Andrii Deshchytsia,Petro Poroshenko ,0
1843,Aecio Neves,Aecio Silva,0
1844,obstruction of justice,obstruction of justice,1
1845,Azamat Tazhayakov,Robel Phillipos,0
1846,National Anti-Corruption Commission,National Anti-Corruption Crusade,0
1847,to guarantee the security we had between 2002 and 2010 and so ensure true peace for Colombia,To violence and bloodshed in order to create chaos.,0
1848,March,November,0
1849,One hundred ninety-eight,Two hundred,0
1850,One hundred ninety-eight,One hundred ninety-eight,1
1851,Kim Martin,Maria Martin,0
1852,culpable homicide,self-defense,0
1853,culpable homicide,capital punishment,0
1854,human rights lawyer Amal Alamuddin,actor Jennifer Aniston,0
1855,Xi Jinping,Russia,0
1856,a China-led free trade zone,a China-exclusive free trade zone,0
1857,"Chinese President Xi Jinping during a welcome ceremony for the Asia-Pacific Economic Cooperation (APEC) summit at the International Convention Center in Yanqi Lake, Beijing, China Tuesday, Nov. 11, 2014","Chinese President Xi Jinping during a welcome ceremony for the Asia-Pacific Economic Cooperation (APEC) summit at the International Convention Center in Yanqi Lake, Beijing, China Tuesday, Nov. 11, 2014",1
1858,"Chinese President Xi Jinping during a welcome ceremony for the Asia-Pacific Economic Cooperation (APEC) summit at the International Convention Center in Yanqi Lake, Beijing, China Tuesday, Nov. 11, 2014","North Korean Leader Kim Jong-un during a meeting at the North Korean side of the Demilitarized Zone Thursday, April 27, 2018",0
1859,Beijing,Beijing,1
1860,economic cooperation,economic cooperation,1
1861,a China-led free trade zone,a China-led free trade zone,1
1862,Beijing,Beijing,1
1863,Wednesday,Wednesday,1
1864,Gospel singers,Gospel singers,1
1865,3-Sep,3-Aug,0
1866,3-Sep,3-Sep,1
1867,3-Sep,3-Aug,0
1868,Lopez,Lopez,1
1869,fomenting the violence,fomenting the violence,1
1870,Andris Berzins,Andris Berzins,1
1871,"Republican Senator Mitch McConnell of Kentucky,","Republican Senator Mitch McConnell of Kentucky,",1
1872,Monday,Wednesday,0
1873,3-May-14,3-May-15,0
1874,Joel McHale,Johnny Depp,0
1875,the troubled rollout of the president’s signature health care law,The economy,0
1876,President Obama,President Obama,1
1877,Saint George Academy in New York’s East Village,Saint Mark Academy in New York’s East Village,0
1878,"Saint George Academy in New York’s East Village where many Ukrainian-Americans live,",Odessa Academy in New York’s East Village where many Ukrainian-Americans live.,0
1879,Saint George Academy,Saint Paul Academy,0
1880,Saint George Academy,Saint Paul Academy,0
1881,as many as 90 members of the Obama administration,as little as 1 member of the Obama administration,0
1882,"her son and political heir apparent, Rahul.","her son and political heir apparent, Sachin",0
1883,Jack Miller,John Miller,0
1884,less than 10 percent,less than 10 percent,1
1885,Egyptian Baher Mohamed,Egyptian Baher Mohamed,1
1886,"former rising political star Bo Xilai,",former astronaut Neil Armstrong,0
1887,former domestic security chief Zhou YongkANG,former domestic security chief Xi Jinping,0
1888,the gates of hell.,Las Vegas.,0
1889,the end of the month,the end of the week,0
1890,Salva Kiir,Paul Kagame,0
1891,at the end of the month,at the end of the year,0
1892,the end of the month,next month,0
1893,Abraham Lincoln,George Washington,0
1894,Dr. Graseciliano Jazbatolo,Dr. James Baldwin,0
1895,Bangkok's Siriraj hospital,New York's Lenox Hill hospital,0
1896,Bangkok's Siriraj hospital,Hong Kong's central hospital,0
1897,Bangkok's Siriraj hospital,Bangkok's Siriraj hospital,1
1898,South Korea,China,0
1899,Russian President Vladimir Putin,American President Barack Obama,0
1900,Russian President Vladimir Putin,American President Barack Obama,0
1901,2004,2004,1
1902,Russian President Vladimir Putin,Russian President Vladimir Putin,1
1903,restoring Russia’s rightful place on the global stage,Making Russia the dominant superpower,0
1904,Russian President Vladimir Putin,The Pope,0
1905,Sunni tribes,Christian factions,0
1906,tribes who fought the government,families who fought the government,0
1907,late 2015,mid 2015,0
1908,around October 2015,around January 2016,0
1909,bribery,blackmail,0
1910,"Texarkana, Texas","Omaha, Nebraska",0
1911,20 years,20 years,1
1912,"Texarkana, Texas","Lubbock, Texas",0
1913,"Texarkana, Texas","Dallas, Texas",0
1914,Greg Meffert,John Meffert,0
1915,Greg Meffert,Rahm Emanuel,0
1916,Pakistani officials announced the arrest of 10 suspects in the attempted assassination of Malala,Pakistani officials announced the arrest of 10 suspects in the attempted assassination of Malala,1
1917,Iraqi Government Prepares to Defend Baghdad,Iraqi Government Prepares to Defend Baghdad,1
1918,Yingluck Shinawatra,Yingluck Shinawatra,1
1919,Prime Minister Yingluck Shinawatra,Prime Minister Suthep Thaugsuban,0
1920,reaching a cease-fire with the pro-Russian rebels with the aim of restoring Ukraine's territorial integrity,granting autonomy to the pro-Russian rebels,0
1921,Wang Yi,Wang Yi,1
1922,Le Luong Minh of Vietnam,Le Luong Minh of Vietnam,1
1923,Steve Scalise,John Boehner,0
1924,Gandhinagar,Mumbai,0
1925,Gandhinagar,Mumbai,0
1926,"Gandhinagar, the state capital of Gujarat, where he is chief minister.","Mumbai, the financial capital of India.",0
1927,"Gandhinagar, the state capital of Gujarat, where he is chief minister.","Delhi, the state capital of Delhi, where he is chief minister.",0
1928,Par Gyi,Far Gyi,0
1929,Than Dar,Than Dar,1
1930,Dr. Ildiko Tabori,Dr. Ildiko Banana,0
1931,Nina Pham in the White House Friday shortly after she was discharged from the National Institutes of Health's hospital outside Washington.,Friday shortly before she was discharged from the National Institutes of Health's hospital outside Washington.,0
1932,Qatari officials,Saudi officials,0
1933,by the end of 2014,by the end of 2015,0
1934,Syrian,Afghan,0
1935,no food,money,0
1936,former Japanese military officers,former Japanese military officers,1
1937,Japanese Prime Minister Shinzo Abe,Chinese President Xi Jinping,0
1938,Born in the USA,My Heart Will Go On,0
1939,Civic Party activist and social worker Ken Tsang,Civic Party activist and social worker Karen Tsang,0
1940,"Russian President Vladimir Putin and his Chinese counterpart, Xi Jinping.","Russian President Vladimir Putin and his Chinese counterpart, Xi Jinping.",1
1941,Calabria-based 'Ndrangheta organization,Lombardy-based 'Ndrangheta organization,0
1942,Nigeria,France,0
1943,sodomy,assault,0
1944,nine years jail,nine years jail,1
1945,nine years jail,eleven years jail,0
1946,central state of Selangor,central state of Selangor,1
1947,billions of dollars in aid,millions of dollars in aid,0
1948,2009,2011,0
1949,Guantanamo Bay,The North Pole,0
1950,restoring Bergdahl’s health,Maintaining Bergdahl’s health,0
1951,restoring Bergdahl’s health,Bergdahl’s freedom,0
1952,Mukhtar Abbas Naqvi,Abbas Ali,0
1953,Mukhtar Abbas Naqvi,Abbas Ali,0
1954,Friday in the northern city of Mosul,Friday in the eastern city of Mosul,0
1955,Sergei Lavrov,Barack Obama,0
1956,"Cambodia, near the Australian embassy, in Phnom Penh, Cambodia, Sept. 26, 2014. (Robert Carmichael/VOA)",the prison in Australia.,0
1957,Manus Island,Manus Island,1
1958,poor rights record,financial reasons,0
1959,five years,five years,1
1960,early next week,early next week,1
1961,"Bunch of Grapes Bookstore, in Vineyard Haven, Massachusetts","Penguin Books, in New York City, New York",0
1962,"Bunch of Grapes Bookstore, in Vineyard Haven, Massachusetts","Waterstones, in London, England",0
1963,"Bunch of Grapes Bookstore, in Vineyard Haven, Massachusetts","The Strand Bookstore, in New York, New York",0
1964,"Bunch of Grapes Bookstore, in Vineyard Haven, Massachusetts","Bunch of Grapes Bookstore, in Richmond, Virginia",0
1965,Dzhokhar Tsarnaev,Jeff Bauman,0
1966,Mohammad Javad Zarif,Hassan Rouhani,0
1967,her illness,starved,0
1968,advocated for government support of the arts across the United States,advocated for government support of the arts across the United States,1
1969,Vladimir Putin,Donald Trump,0
1970,on the sidelines (of the G20) in the coming days,on the sidelines (of the G20) in the coming months,0
1971,Vladimir Putin,Drake,0
1972,Rolene Strauss,Priyanka Chopra,0
1973,"being assigned to U.S. Army North at Joint Base San Antonio- Fort Sam Houston in the southern state of Texas, where he can ""contribute to the mission.""","being stationed at the U.S. Army North base in the eastern state of Maine, where he can ""contribute to the mission.""",0
1974,Army North at Joint Base San Antonio- Fort Sam Houston in the southern state of Texas,Army North at Joint Base San Antonio- Fort Sam Houston in the southern state of Texas,1
